,CapEx Component,Value ($),Value ($/kW)
0,Array System,133234144.1709662,222.05690695161033
1,Export System,75794538.60938,126.32423101563334
2,Substructure,630709636.6,1051.1827276666668
3,Mooring System,275612740.3282033,459.3545672136722
4,Offshore Substation,83413425.0,139.022375
5,Array System Installation,40797775.49634412,67.99629249390686
6,Export System Installation,8656898.198279994,14.428163663799989
7,Substructure Installation,52905494.29223744,88.17582382039573
8,Mooring System Installation,42511992.00913236,70.8533200152206
9,Offshore Substation Installation,4343586.697488585,7.239311162480974
10,Turbine,900000000.0,1500.0
11,Soft,325896000.0,543.16
12,Project,151250000.0,252.08333333333334
