Inputs,Sunrise Wind,Mayflower Wind 2
FCR,0.0582,0.0582
Offtake price ($/MWh),83.3,80
Lease Area Price ($),1903181,154525000
Discount rate (%),0.025,0.025
# Turbines,102,67
Turbine Rating (MW),11,15
Project Capacity (MW),1122,1005
# OSS,1,1
Substructure type,??,??
Row spacing (rotor diameters),not used for custom layouts,not used for custom layouts
Turbine spacing (rotor diameters),not used for custom layouts,not used for custom layouts
Depth (m),47.52,50.59
Mean wind speed (m/s),8.996010967057243,9.21673306772638
Distance to landfall (km),169,154
Distance to port (km),103,208
Interconnection distance (km),28,2
# of POIs,??,??
Export cable type,['HVDC_2000mm_320kV'],['HVDC_2000mm_320kV']
Array cable type,"['XLPE_185mm_66kV', 'XLPE_500mm_132kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']"
