Inputs,New England
FCR,0.0582
Offtake price ($/MWh),75.07
Lease Area Price ($),182336
Discount rate (%),0.025
# Turbines,128
Turbine Rating (MW),16
Project Capacity (MW),2048
# OSS,2
Substructure type,??
Row spacing (rotor diameters),not used for custom layouts
Turbine spacing (rotor diameters),not used for custom layouts
Depth (m),51.1
Mean wind speed (m/s),9.15166971905148
Distance to landfall (km),93
Distance to port (km),100
Interconnection distance (km),17
# of POIs,??
Export cable type,['XLPE_1000m_220kV']
Array cable type,"['XLPE_185mm_66kV', 'XLPE_500mm_132kV', 'XLPE_630mm_66kV']"
